번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"355","아홉 살 첫사랑","히코 다나카 글;요시타케 신스케 그림;유문조 옮김","스콜라","2017","9788962478723","","7","","833.8","1","4","2018-01-10",
"356","삼백이의 칠일장","천효정 글;최미란 그림","문학동네","2014","9788954623759","","7","2","813.8","1","3","2018-01-10",
"357","삼백이의 칠일장","천효정 글;최미란 그림","문학동네","2014","9788954623742","","7","1","813.8","1","6","2018-01-10",
"358","과학자 에이다의 대단한 말썽","안드레아 비티 글;데이비디 로버츠 그림;김혜진 옮김","천개의바람","2017","9791187287322","","7","","843","1","9","2018-01-10",
"359","겁보 만보","김유 글;최미란 그림","책읽는곰","2015","9791185564333","","7","","813.8","1","5","2018-01-10",
"360","욕 시험","박선미 글;장경혜 그림","보리","2009","9788984285934","","7","","813.8","1","1","2017-09-05",
"361","컬러보이=Color boy:손서은 장편동화","손서은 글;소윤경 그림","비룡소","2014","9788949121604","","7","","813.8","1","3","2017-09-05",
"362","우리의 미니멀 생활 일기 ","SE 편집부 엮음;오연경 옮김","미메시스","2017","9791155351055","","0","","595.4","1","4","2017-07-26",
"363","소문난 반찬가게 인기 레시피 ","채움반찬 [외]지음;김덕창;박형인 [공]사진","헬스조선","2016","9791158461263","","1","","594.5","1","4","2017-07-26",
"364","호모 데우스 :미래의 역사 ","유발 하라리 지음;김명주 옮김","김영사","2017","9788934977841","","0","","331.544","1","6","2017-07-26",
"365","보노보노처럼 살다니 다행이야 ","김신회 지음","다산북스","2017","9791130611853","","0","","818","1","8","2017-07-26",
"366","간질간질 ","서현 글·그림","사계절","2017","9791160940688","","7","","813.8","1","1","2017-07-26",
"367","왜냐면… ","안녕달 글·그림","책읽는곰","2017","9791158360382","","7","","813.8","1","6","2017-07-26",
"368","감기 걸린 물고기 :박정섭 그림책 ","박정섭 글·그림","사계절","2016","9788958284482","","7","","813.8","1","9","2017-07-26",
"369","장래 희망이 뭐라고? ","전은지 글;김재희 그림","책읽는곰","2017","9791158360399","","7","","813.8","1","4","2017-07-26",
"370","추리 천재 엉덩이 탐정 ","트롤 글·그림;김정화 옮김","미래엔","2016","9788937853470","9788937838781","7","2","833.8","1","2","2017-07-26",
"371","왜 맞춤법에 맞게 써야 돼? ","박규빈 글·그림","길벗어린이","2017","9788955823875","","7","","711","1","9","2017-07-26",
"372","판다 목욕탕 ","투페라 투페라 지음;김효묵 옮김","노란우산","2014","9788963056852","","1","","833.8","1","5","2017-07-26",
"373","헛다리 너 형사 :장수민 동화 ","장수민 지음;정가애 그림","창비","2017","9788936451479","","7","","813.8","1","6","2017-07-26",
"374","변신 돼지 ","박주혜 글;이갑규 그림","비룡소","2017","9788949161945","","7","264","808.9","1","9","2017-07-26",
"375","아홉 살 마음 사전 ","박성우 글;김효은 그림","창비","2017","9788936447014","","7","","181.71","1","2","2017-07-26",
"376","(영어 앞에서 당당한 아이를 만드는 새벽달의)엄마표 영어 17년 보고서 ","새별달(남수진) 지음","청림출판","2016","9788997195916","","1","","740.7","1","2","2017-07-26",
"377","못 참는 아이 욱하는 부모 :분노조절장애의 시대를 사는 대한민국 부모에게 주는 육아 멘토 오은영 박사의 감정 조절 육아법 ","오은영 지음","대성 Korea.com","2016","9788997396658","","1","","598.1","1","7","2017-07-26",
"378","햇빛마을 아파트 동물원 :정제광 장편동화 ","정제광 글;국민지 그림","창비","2017","9788936442880","","7","","813.8","1","7","2017-07-26",
"379","세계 나라 사전 =World picture dictionary ","PIE International 편;테츠카 아케미 그림;타카모리 마쓰미 옮김","사계절","2017","9788958288060","","7","","980","1","1","2017-07-26",
"380","나는 지하철입니다","김효은 글·그림","문학동네","2016","9788954642491","","7","","813.8","1","5","2016-12-06",
"381","이게 정말 천국일까?","요시타케 신스케 글·그림;고향옥 옮김","주니어김영사","2016","9788934975311","","7","","833.8","1","4","2016-12-06",
"382","벗지 말걸 그랬어","요시타케 신스케 글·그림;유문조 옮김","스콜라(위즈덤하우스)","2016","9788962477207","","7","","833.8","1","4","2016-12-06",
"383","행복을 나르는 버스","맷 데 라 페냐 글;크리스티앙 로빈슨 그림;김경미 옮김","비룡소","2016","9788949112657","","7","","843","1","1","2016-12-06",
"384","할머니의 여름휴가:안녕달 그림책","안녕달 지음","창비","2016","9788936454951","","7","","813.8","1","5","2016-12-06",
"385","여우비빔밥","김주현 글 ;이갑규 그림","마루벌","2016","9788956635736","","7","","813.8","1","2","2016-12-06",
"386","거짓말","카트린 그리브 글;프레데리크 베르트랑 그림;권지현 옮김","씨드북","2016","9791185751979","","7","","863","1","5","2016-12-06",
"387","(한 권으로 끝내는)종이접기","주부의벗사 편집;김정화 옮김","길벗스쿨","2016","9788962228960","","1","","634.9","1","4","2016-12-06",
"388","의자 뺏기","박하령 지음","살림출판사","2015","9788952230683","","4","","813.6","1","3","2016-12-06",
"389","영웅이도 영웅이 필요해","윤해연 글;신민재 그림","대교","2015","9788939556041","","7","","813.8","1","4","2016-12-06",
"390","싸이퍼=Cypher:탁경은 장편소설","탁경은 지음","사계절","2016","9788958283799","","4","","813.6","1","2","2016-12-06",
"391","그림 속에는 뚱보들이 산다","조혜미 글;김주경 그림","교학사","2016","9788909193764","","7","","813.8","1","11","2016-12-06",
"392","쓸 만한 인간:박정민 산문집","박정민 지음","상상출판","2016","9791186517949","","0","","818","1","3","2016-12-06",
"393","설민석의 조선왕조실록:대한민국이 선택한 역사 이야기","설민석 지음","세계사","2016","9788933870693","","0","","911.04","1","9","2016-12-06",
"394","일본어 무작정 따라하기=Japanese conversation","후지이 아사리 지음","길벗이지톡","2014","9788960478848","","0","","737.4","1","0","2016-12-06",
"395","우리말 절대지식:천만년을 버텨갈 우리 속담의 품격","김승용 지음","동아시아","2016","9788962621617","","9","","714.4","1","0","2016-12-06",
"396","빨강머리 앤이 하는 말:아직 너무 늦지 않았을 우리에게:백영옥 에세이","백영옥 지음","arte(아르테)","2016","9788950965693","","0","","814.6","1","5","2016-12-06",
"397","오베라는 남자=(A)man called Ove:프레드릭 배크만 장편소설","프레드릭 배크만 지음;최민우 옮김","다산북스","2015","9791130605210","","0","","859.7","1","10","2016-06-23",
"398","수박 수영장:안녕달 그림책","안녕달 지음","창비","2015","9788936446819","","7","","813.8","1","16","2016-06-23",
"399","콩가면 선생님이 웃었다","윤여림 글;김유대 그림","천개의바람","2016","9788997984930","","7","","813.8","1","3","2016-06-23",
"400","책으로 똥을 닦는 돼지","최은옥 글;오정택 그림","김영사","2015","9788934993407","","7","","813.8","1","12","2016-06-23",
"401","세상에서 가장 힘이 센 말","이현정 글;박재현 그림","맹&앵","2012","9788994198156","","7","","813.8","1","5","2016-06-23",
"402","(10대를 위한)정의란 무엇인가:하버드대 마이클 샌델 교수의 정의 수업","마이클 샌델 원저;신현주 글;조혜진 그림","미래엔","2014","9788937886966","","7","","340.1","1","5","2016-06-23",
"403","이게 정말 사과일까?","요시타케 신스케 글·그림;고향옥 옮김","김영사","2014","9788934968726","","7","","833.8","1","5","2016-06-23",
"404","백종원이 추천하는 집밥 메뉴 54","백종원 지음;김철환;장봉영 [공]사진","서울문화사","2016","9788926396858","","1","","594.51","1","4","2016-06-23",
"405","엄마의 말 공부:기적 같은 변화를 불러오는 작은 말의 힘","이임숙 지음","카시오페아","2015","9791185952123","","1","1","378.9","1","9","2016-06-23",
"406","딸에게 주는 레시피:공지영 에세이","공지영 지음;이장미 그림","한겨레출판","2015","9788984319097","","0","","814.6","1","9","2016-06-23",
"407","(욕쟁이 요리 블로거 당근정말시러의)맛 보장 가정식 레시피","당근정말시러 지음","빛날희","2015","9791195655502","","1","","594.5","1","3","2016-06-23",
"408","(기대를 현실로 바꾸는)혼자 있는 시간의 힘","사이토 다카시 지음;장은주 옮김","위즈덤하우스","2015","9788960868434","","0","","325.04","1","3","2016-06-23",
"409","유시민의 글쓰기 특강","유시민 지음","아름다운사람들","2015","9788965133520","","0","","802","1","5","2016-06-23",
"410","죽음의 먼지가 내려와요","김수희 글;이경국 그림","미래M&B","2015","9788983947833","","7","","539.9","1","4","2016-04-05",
"411","지옥탕","손지희 글·그림","책읽는곰","2011","9788993242409","","7","","813.8","1","3","2016-04-05",
"412","호랑이 심장","조대현 글·그림","가치창조","2016","9788963011233","","7","","813.8","1","4","2016-04-05",
"413","지적 대화를 위한 넓고 얕은 지식","채사장 지음","한빛비즈","2014","9788994120966","","1","","031","1","6","2016-03-23",
"414","팥죽 할멈과 호랑이","소중애 글;금정한 그림","비룡소","2014","9788949101293","","","","388.311","1","0","2016-03-23",
"415","앵무새 돌려주기 대작전:임지윤 장편동화","임지윤 지음;조승연 그림","창비","2015","9788936442767","","7","","813.8","1","7","2016-03-15",
"416","슈퍼 거북","유설화 글·그림","책읽는곰","2015","9788993242980","","7","","813.8","1","10","2016-03-15",
"417","기억 전달자","로이스 로리 글;장은수 옮김","비룡소","2012","9788949120744","","4","","843","1","6","2016-03-15",
"418","(엄마랑 아이랑 신 나게 노는)꼬물 꼬물 손가락 창의 미술","로사 M. 쿠르토 글·그림;장선하 옮김","그린북","2013","9788955882520","","6","","650.7","1","1","2015-12-15",
"419","(스타트)초등 영단어","천정화 엮음","비타민북","2010","9788992683319","","1","","744","1","6","2015-12-15",
"420","공룡을 그려보자=How to draw dinosaurs","김충원 지음","진선출판사","2015","9788972219095","","6","","650","1","2","2015-12-15",
"421","안전을 책임지는 사람들","홍기운 글;이유정 그림","계림북스","2015","9788953330641","","7","","336.24","1","2","2015-12-15",
"422","영웅이도 영웅이 필요해","윤해연 글;신민재 그림","대교","2015","9788939556041","","7","","813.8","1","5","2015-12-15",
"423","이게 정말 나일까?","요시타케 신스케 글·그림;김소연 옮김","김영사","2015","9788934971634","","7","","833.8","1","11","2015-12-15",
"424","스무 살:김연수 소설","김연수 지음","문학동네","2015","9788954637046","","0","","813.6","1","3","2015-12-15",
"425","종이달:가쿠다 미쓰요 장편소설","가쿠다 미쓰요 지음;권남희 옮김","위즈덤하우스","2014","9788959138524","","0","","833.6","1","7","2015-12-15",
"426","모두 깜언:김중미 장편소설","김중미 지음","창비","2015","9788936456641","","4","","813.6","1","2","2015-12-15",
"427","몬드리안을 본 적이 있니?:추상 회화의 선구자 피트 몬드리안이 만난 세상","알렉산드로 산나 글·그림;이현경 옮김","톡","2015","9788961556415","","7","","650.99","1","1","2015-12-15",
"428","생태 통로:인간이 만든 동물의 길","김황 글;안은진 그림","논장","2015","9788984142411","","7","","813.8","1","4","2015-12-15",
"429","아빠, 나한테 물어봐","버나드 와버 글;이수지 그림·옮김","비룡소","2015","9788949113609","","7","","843","1","5","2015-12-15",
"430","된장찌개","천미진 글;강은옥 그림","키즈엠","2015","9788967494162","","7","","813.8","1","4","2015-12-15",
"431","나의 영웅, 대디맨","미야니시 타츠야 글·그림;송소영 옮김","달리","2015","9788959982912","","7","","833.8","1","4","2015-12-15",
"432","(봄 여름 가을 겨울)숲 유치원","한영식 지음;류은형 그림","진선출판사","2015","9788972219170","","7","","471","1","1","2015-12-15",
"433","운석은 어떻게 박물관에 갔을까?","제시 하틀랜드 글·그림;최용은 옮김","키즈엠","2014","9788967492335","","7","","843","1","1","2015-12-15",
"434","라면을 끓이며:먹고산다는 것의 안쪽을 들여다보는 비애","김훈 지음","문학동네","2015","9788954637770","","0","","814.6","1","5","2015-12-15",
"435","애프터 다크:무라카미 하루키 장편소설","무라카미 하루키 지음;권영주 옮김","비채","2015","9788934971627","","0","","833.6","1","1","2015-12-15",
"436","그믐, 또는 당신이 세계를 기억하는 방식:장강명 장편소설","장강명 지음","문학동네","2015","9788954637237","","0","","813.6","1","1","2015-12-15",
"437","개인주의자 선언:판사 문유석의 일상유감","문유석 지음","문학동네","2015","9788954637756","","0","","304","1","2","2015-12-15",
"438","재테크의 여왕:부자의 첫 걸음","성선화 지음;박지연 일러스트;필립 포토","청림출판","2015","9788935210428","","1","","327.04","1","11","2015-12-15",
"439","냉장고를 부탁해:Best recipe book","JTBC <냉장고를 부탁해> 제작팀 지음","중앙북스","2015","9788927806837","","1","","594.5","1","0","2015-12-15",
"440","태초먹거리:기본이 회복되어야 한다","이계호 지음","그리심어소시에이츠","2013","9788996566779","","1","","517.5","1","2","2015-12-15",
"441","패브릭 손뜨개=Fabric knitting:쉽고 빠르게 사계절 내내 만드는 패션 ＆ 인테리어 소품","김인영 지음;배현주 [도안삽화];박형주 사진","한빛라이프","2015","9791185933146","","1","","592.27","1","4","2015-12-15",
"442","버스 타고 주말 여행:누구나 쉽게 따라하는 셀프 여행법","안혜연 글·사진","시공사","2015","9788952773470","","1","","981.102","1","0","2015-12-15",
"443","곰아, 자니?","조리 존 글;벤지 데이비스 그림;이순영 옮김","북극곰","2015","9788997728671","","7","","843","1","2","2015-07-02",
"444","민들레는 민들레","김장성 글;오현경 그림","이야기꽃","2014","9788998751074","","7","","813.8","1","0","2015-07-02",
"445","서로 꼭 껴안아!","마이크 스미스 글.그림;홍연미 옮김","사파리","2015","9791155092941","","7","","843","1","5","2015-07-02",
"446","바다 100층짜리 집","이와이 도시오 글.그림;김숙 옮김","북뱅크","2014","9788966350278","","7","","833.8","1","16","2015-07-02",
"447","(매일매일 두뇌 트레이닝) 간단 종이접기 대백과","주부의벗사 편집부 저;김수연 옮김","아르고나인","2011","9788997227099","","","","634.9","1","9","2015-07-02",
"448","재미있는 내 얼굴","니콜라 스미 글.그림;마술연필 옮김","보물창고","2014","9788961703567","","7","","843","1","2","2015-07-02",
"449","세상의 많고 많은 초록들","로라 바카로 시거 글.그림;김은영 옮김","다산기획","2014","9788979380859","","7","","472.543","1","1","2015-07-02",
"450","처음 만나는 공공장소","권재원 지음","창비","2014","9788936446505","","7","","385","1","4","2015-07-02",
"451","지구가 100명의 마을이라면","데이비드 스미스 지음;셸라 암스트롱 그림;노경실 옮김","푸른숲","2011","9788971846629","","7","","330","1","4","2015-07-02",
"452","공작도감:장난감을 만들며 놀자!","기우치 가쓰 글;기우치 가쓰;다나카 고야 그림;김창원 옮김","진선출판사","2010","9788972216575","","7","","634.9","1","2","2015-07-02",
"453","짜증방","소중애 글;방새미 그림","거북이북스","2014","9788966071005","","7","","813.8","1","6","2015-07-02",
"454","어느 날 구두에게 생긴 일","황선미 지음;신지수 그림","비룡소","2014","9788949121598","","7","","813.8","1","14","2015-07-02",
"455","위를 봐요!","정진호 글.그림","현암사","2014","9788932373706","","7","","813.8","1","2","2015-07-02",
"456","그래요 씨와 아니요 씨:도둑을 잡아라","카리 스타이 글.그림;최소영 옮김","어썸월드","2012","9791157490998","","7","","859.82","1","4","2015-07-02",
"457","깜박깜박 도깨비","권문희 글.그림","사계절출판사","2014","9788958287551","","7","","388.311","1","6","2015-07-02",
"458","901호 띵똥 아저씨","이욱재 글.그림","노란돼지","2014","9788994975368","","7","","813.8","1","10","2015-07-02",
"459","사람의 멍에:홍상화 소설","홍상화 지음","한국문학사","2015","9788987527406","","0","","813.6","1","3","2015-07-02",
"460","소년이 온다:한강 장편소설","한강 지음","창비","2014","9788936434120","","0","","813.6","1","11","2015-07-02",
"461","이토록 공부가 재미있어지는 순간:공부에 지친 청소년들을 위한 힐링 에세이","박성혁 지음","다산북스","2015","9791130604626","","1","","373","1","6","2015-07-02",
"462","(어른을 일깨우는) 아이들의 위대한 질문","제마 엘윈 해리스 엮음;김희정 옮김","부키","2015","9788960514706","","0","","030","1","0","2015-07-02",
"463","싱커","배미주 지음","창비","2010","9788936433758","","0","","813.6","1","1","2015-07-02",
"464","미움받을 용기:자유롭고 행복한 삶을 위한 아들러의 가르침","기시미 이치로 외 지음;전경아 옮김","인플루엔셜","2014","9788996991342","","1","","189","1","12","2015-07-02",
"465","(책 한 권이 통째로 복사되는) 7번 읽기 공부법","야마구치 마유 지음;류두진 옮김","위즈덤하우스","2015","9788960868007","","1","","373.4","1","9","2015-07-02",
"466","잠수네 초등 1, 2학년 공부법:영어.수학.국어","이신애 지음","RHK(알에이치코리아)","2015","9788925555553","","7","","373.4","1","13","2015-07-02",
"467","프랑스 아이처럼:아이, 엄마, 가족이 모두 행복한 프랑스식 육아","파멜라 드러커맨 지음;이주혜 옮김","북하이브","2013","9788928615360","","0","","598.1","1","5","2015-07-02",
"468","개구리 왕자 그 뒷 이야기","존 셰스카 글;스티브 존슨 그림;엄혜숙 옮김","보림출판사","2011","9788943302252","","7","","843","1","7","2014-10-29",
"469","삐악 삐악 숲 속 놀이동산","쿠도 노리코 글·그림;한라경 옮김","책내음","2014","9788997357550","","7","","833.8","1","1","2014-10-29",
"470","손가락 문어","구세 사나에 글·그림;이기웅 옮김","길벗어린이","2014","9788955822892","","7","","833.8","1","7","2014-10-29",
"471","행복한 ㄱㄴㄷ","최숙희 지음","웅진씽크빅","2014","9788901163154","","7","","375.1","1","2","2014-10-29",
"472","내 이름은 제동크","한지아 글·그림","풀과바람","2014","9788983895295","","7","","813.8","1","1","2014-10-29",
"473","(유경이의 꿈을 찾아가는)세계 자연사 박물관 여행","송기원;조유경 [공]지음","꼬마이실","2014","9788931381603","","0","","069.2","1","0","2014-10-29",
"474","세계여행 역사여행 : 이집트","K&C","북마인(연림북스)","2006","9788991700116","","","8","980.2","1","0","2014-06-28",
"475","으랏차차 뚱보클럽:전현정 장편동화","전현정 글씀;박정섭 그림","비룡소","2013","9788949121482","","7","","813.8","1","7","2014-06-28",
"476","내가 나라를 만든다면","밸러리 와이어트 지음;장선하 옮김;프레드 릭스 그림","토토북","2013","9788964961711","","0","","331.5","1","2","2014-06-28",
"477","금지어 시합","임근희 글;정세라 그림","좋은책신사고 좋은책어린이","2013","9788928307852","","0","","813.8","1","28","2014-04-22",
"478","보이니? 명화 속 숨은 마음","김주영 지음;토끼도둑 일러스트","낮은산","2013","9791155250013","","7","","650.4","1","2","2014-04-22",
"479","공장 견학 그림책:빵에서 전기까지","앨드른 왓슨 글·그림;이향순 옮김","북뱅크","2012","9788966350100","","7","","530.9","1","8","2014-04-22",
"480","꿀벌이 없어지면 딸기를 못 먹는다고?","김황 글;최현정 그림","창비","2012","9788936446284","","7","","495.8","1","3","2014-04-22",
"481","아빠 만날 준비됐니?","김영미 글;황정하 그림","시공사","2012","9788952764041","","7","","813.8","1","16","2014-04-22",
"482","동물이랑 식물이 같다고요?!","노정임 글;안경자 그림","현암사","2013","9788932373447","","7","","472","1","9","2014-04-22",
"483","(어린이와 청소년을 위한) 다문화 백과사전:혼자보다 우리가 똑똑하다","채인선 지음","한권의책","2012","9788996877745","","4","","331.5","1","1","2014-04-22",
"484","(외교관 아빠가 들려주는) 외교 이야기","정기종 글;임익종 그림","토토북","2012","9788964960929","","7","","349","1","2","2014-04-22",
"485","(어린이와 청소년을 위한) 소녀소년 평등 탐구생활","양해경 글;권송이 그림","파란자전거","2013","9788994258553","","7","","337.2","1","2","2014-04-22",
"486","천 원은 너무해!","전은지 글;김재희 그림","책읽는곰","2012","9788993242584","","7","","813.8","1","32","2014-04-22",
"487","나의 첫 인생 수업:아빠와 나눈 17가지 공감 대화","모리 히로미 글;김정은 그림;김난주 옮김","미래엔","2012","9788937835438","","7","","199","1","1","2014-04-22",
"488","섬소년","이정아 지음;박건웅 그림","해와나무","2013","9788962681062","","7","","813.8","1","10","2014-04-22",
"489","(일곱 빛깔) 독도 이야기","황선미 글;우지현 그림","조선에듀케이션","2012","9788966660360","","7","","813.8","1","5","2014-04-22",
"490","미움 일기장","장희정 글;최정인 그림","위즈덤하우스","2013","9788962474046","","7","","813.8","1","24","2014-04-22",
"491","율리시스 무어","피에르도메니코 바칼라리오 지음;이현경 옮김","웅진씽크빅","2006","9788901062518","9788901057774","","5","883","1","0","2014-01-16",
"492","사료를 드립니다","이금이 지음","푸른책들","2012","9788957983041","","7","","813.8","1","2","2014-01-16",
"493","마사코의 질문:손연자 동화집","손연자 지음;김재홍 그림","푸른책들","2009","9788957981856","","7","","813.8","1","8","2014-01-16",
"494","길모퉁이 행운돼지","김종렬 글;김숙경 그림","다림","2012","9788987721866","","7","","813.8","1","5","2014-01-16",
"495","불안한 엄마 무관심한 아빠","오은영 지음","웅진씽크빅","2011","9788901122816","","1","","598.1","1","0","2014-01-16",
"496","할머니의 사라지는 기억","도로테 피아테크 글;마리 데봉 그림;문신원 옮김","책단배","2010","9788996360957","","7","","863","1","1","2014-01-16",
"497","(지도 없이 떠나는 101일간의)음식의 세계사","박영수 글;노기동 그림","영교출판","2011","9788983894786","","7","","381.75","1","0","2014-01-16",
"498","엄마 사용법","김성진 지음;김중석 그림","창비","2012","9788936451332","","7","","813.8","1","16","2014-01-16",
"499","새앙쥐와 태엽쥐","레오 리오니 글·그림;이명희 옮김","마루벌","2008","9788956632179","","7","","843","1","1","2014-01-16",
"500","자전거 도둑","박완서 글;방민호 논술;최용선 그림","대한교과서","2007","9788937842993","","7","","813.6","1","6","2014-01-16",
"501","(찰리와 롤라)숫자 놀이","로렌 차일드 지음","국민서관","2008","9788911027286","","7","","843","1","3","2014-01-16",
"502","레전드, 배철수의 음악캠프 20년 그리고 100장의 음반","배철수;배순탁 [공]지음","위즈덤하우스","2010","9788959134267","","0","","673.53","1","0","2014-01-16",
"503","초록 눈 코끼리","강정연 글;백대승 그림","푸른숲","2011","9788971846520","","7","","813.8","1","4","2014-01-16",
"504","잘못 뽑은 반장","이은재 글;서영경 그림","김영사","2010","9788934933700","","7","","813.8","1","19","2014-01-16",
"505","해리엇","한윤섭 글;서영아 그림","문학동네","2011","9788954615044","","7","","813.8","1","3","2014-01-16",
"506","너무 친한 친구들:넬레 노이하우스 장편소설","넬레 노이하우스 지음;김진아 옮김","북로드","2011","9788991239739","","0","","853","1","5","2014-01-16",
"507","프린들 주세요","앤드루 클레먼츠 글;햇살과나무꾼 옮김;양혜원 그림","사계절출판사","2011","9788971968345","","7","","843","1","23","2014-01-16",
"508","책과 노니는 집","이영서 글;김동성 그림","문학동네","2010","9788954607346","","7","","813.8","1","22","2014-01-16",
"509","타샤의 열두 달","타샤 튜더 글·그림;공경희 옮김","윌북","2010","9788991141551","","7","","843","1","1","2014-01-16",
"510","소나기밥 공주:이은정 장편동화","이은정 지음;정문주 그림","창비","2010","9788936442491","","7","","813.8","1","15","2014-01-16",
"511","샬롯의 거미줄","엘윈 브룩스 화이트 글;가스 윌리엄즈 그림;김화곤 옮김","시공사","2011","9788952709530","","7","","843","1","6","2014-01-16",
"512","구름빵","백희나 글·그림;김향수 빛그림","한솔교육","2006","9788953527058","","7","","813.8","1","4","2014-01-16",
"513","왠지 시무룩한 날","리사 얀클로우 글·그림;노은정 옮김","에스오디커뮤니케이션","2007","9788991780354","","7","","843","1","3","2014-01-16",
"514","임금님 집에 예쁜 옷을 입혀요","무돌 글·그림","노란돼지","2010","9788996359739","","7","","813.8","1","3","2014-01-16",
"515","날고 싶어!","올리버 제퍼스 글·그림;이승숙 옮김","아름다운사람들","2011","9788965130826","","7","","843","1","5","2014-01-16",
"516","황금 사과","송희진 글·그림;이경혜 옮김","뜨인돌어린이","2010","9788993963120","","7","","863","1","2","2014-01-16",
"517","아모스와 보리스","윌리엄 스타이그 글·그림;우미경 옮김","시공사","2011","9788972593010","","7","","843","1","6","2014-01-16",
"518","고릴라","앤터니 브라운 지음;장은수 옮김","비룡소","2011","9788949110486","","7","","843","1","3","2014-01-16",
"519","뻔뻔한 실수:황선미 동화","황선미 동화;김진화 그림","창비","2010","9788936451271","","7","","813.8","1","8","2014-01-16",
"520","상실의 시대","무라카미하루키 지음;유유정 옮김","문학사상사","","9788970120157","","","","813.6","1","3","2014-01-16",
"521","갯벌에 뭐가 사나 볼래요","도토리 기획;이원우 그림","보리","2010","9788984280625","","7","","454.05","1","6","2014-01-16",
"522","백설공주에게 죽음을:넬레 노이하우스 장편소설","넬레 노이하우스 지음;김지아 옮김","북로드","2011","9788991239685","","0","","853","1","8","2014-01-16",
"523","완득이:김려령 장편소설","김려령 지음","창비","2011","9788936433635","","0","","813","1","10","2014-01-16",
"524","똥이랑 ㄱㄴㄷ","4차원 기획·구성;정지은 그림","개똥이책","2009","9788995503775","","7","","375.1","1","2","2014-01-16",
"525","(깃털 없는 기러기)보르카","존 버닝햄 글·그림;엄혜숙 옮김","비룡소","2009","9788949110165","","7","","843","1","9","2014-01-16",
"526","피튜니아, 여행을 떠나다","로저 뒤봐젱 글·그림;서애경 옮김","시공사","2010","9788972592037","","7","","843","1","3","2014-01-16",
"527","우와! 신기한 사탕이다","미야니시 타츠야 글·그림;계일 옮김","계수나무","2009","9788989654575","","7","","833.8","1","12","2014-01-16",
"528","그리미의 꿈","레오 리오니 글·그림;김서정 옮김","마루벌","2008","9788956632490","","7","","843","1","2","2014-01-16",
"529","수상한 초콜릿","장 알레상드리니 글;장 루이 베송 그림;이정주 옮김","김영사","2010","9788934940012","","7","","863","1","21","2014-01-16",
"530","아이의 식생활","EBS 아이의 밥상 제작팀 지음","지식채널","2010","9788952758019","","1","","517.52","1","0","2014-01-16",
"531","(아기가 잘 먹는)이유식은 따로 있다:파워블로거 마더스고양이의 체험 이유식 실전서","김정미 지음","레시피팩토리","2010","9788996347200","","1","","594.62","1","3","2014-01-16",
"532","틱 톡, 일어나세요","앤드리어 어렌 글.그림;서애경 옮김","꿈교출판사","2012","9788996718314","","7","","843","1","2","2014-01-16",
"533","화각 삼층장 이야기","지혜라 글·그림","보림출판사","2011","9788943308834","","7","","634","1","0","2014-01-16",
"534","돈으로 살 수 없는 것들:무엇이 가치를 결정하는가","마이클 샌델 지음;안기순 옮김","미래엔","2012","9788937833663","","0","","193","1","1","2014-01-16",
"535","7년의 밤:정유정 장편소설","정유정 지음","은행나무","2011","9788956604992","","0","","813.6","1","6","2014-01-16",
"536","두근두근 내 인생:김애란 장편소설","김애란 지음","창비","2011","9788936433871","","0","","813.6","1","4","2014-01-16",
"537","빨간 매미","후쿠다 이와오 지음;한영 옮김","책읽는곰","2008","9788993242003","","7","","833.8","1","8","2014-01-16",
"538","초강력 아빠 팬티:세상에서 가장 위대한 아빠 이야기","타이-마르크 르탄 지음;비루 그림;이주희 옮김","아름다운사람들","2010","9788965130321","","7","","863","1","19","2014-01-16",
"539","동물농장","조지 오웰 지음;손영도 옮김","고려대학교 출판부","2008","9788976416599","","0","7","808","1","3","2014-01-16",
"540","불량한 자전거 여행","김남중 지음;허태준 그림","창비","2009","9788936442507","","7","","813.8","1","4","2014-01-16",
"541","사과가 쿵！","다다 히로시 지음;정근 옮김","보림출판사","2007","9788943306090","","7","","833.8","1","2","2014-01-16",
"542","땅은 엄마야:이금이 창작동화","이금이 지음;한지희 그림","푸른책들","2012","9788957980583","","7","","813.8","1","5","2014-01-16",
"543","대머리 사막","박경진 글·그림","미세기","2010","9788980712533","","7","","813.8","1","4","2014-01-16",
"544","87년 6월 항쟁","김원 지음","책세상","2009","9788970137285","","0","","331.5","1","0","2014-01-16",
"545","68운동","이성재 지음","책세상","2009","9788970137292","","0","","301.09","1","0","2014-01-16",
"546","적을 만들지 않는 대화법:사람을 얻는 마법의 대화 기술 56","샘 혼 지음;이상원 옮김","갈매나무","2008","9788995932582","","0","","802.54","1","4","2014-01-16",
"547","(어린 과학자를 위한)몸 이야기","권오길 지음 ;김호민 그림","봄나무","2005","9788995625033","","","","511.1","1","4","2014-01-16",
"548","엄마수업","법륜 지음;이순형 그림","한겨례출판","2011","9788984315112","","0","","598.1","1","3","2014-01-16",
"549","찬다 삼촌","윤재인 글;오승민 그림","느림보","2012","9788958761365","","7","","813.8","1","6","2014-01-16",
"550","세븐 센스=(The)Seventh sense","정철 지음","황금가지","2010","9788960170452","","0","","814.6","1","3","2014-01-16",
"551","정의란 무엇인가","마이클 샌델 지음;이창신 옮김","김영사","2010","9788934939603","","0","","340.1","1","1","2014-01-16",
